title,average Rating,num Votes
Dhan Dhana Dhan Goal,5,2461
Functional Fitness,5,275
Görümce,5,2926
I Don't Know How She Does It,5,19888
Iron Sky: The Coming Race,5,9465
Mariah Carey's Merriest Christmas,5,230
Mighty Express,5,88
Mighty Express: A Mighty Christmas,5,36
Mugamoodi,5,1095
New York Minute,5,22568
One Day: Justice Delivered,5,2795
Pedal the World,5,992
Sarvopari Palakkaran,5,152
Sen Kimsin?,5,5162
Seth Rogen's Hilarity for Charity,5,2264
Silent Hill: Revelation,5,61570
Singapore Social,5,2684
Stunt Science,5,43
The Arbitration,5,114
Todd Glass: Act Happy,5,356
World Famous Lover,5,2700
#Roxy,5.1,284
10 Days in Sun City,5.1,59
13 Cameras,5.1,5093
A Witches' Ball,5.1,347
All the Devil's Men,5.1,2686
Asphalt Burning,5.1,1927
Berlin Kaplani,5.1,6719
Brews Brothers,5.1,1742
Christmas Survival,5.1,766
Clinical,5.1,7421
Coffee & Kareem,5.1,12572
Elliot the Littlest Reindeer,5.1,903
Ethirmarai,5.1,16
F.R.E.D.I.,5.1,910
Felipe Esparza: Bad Decisions,5.1,146
G-Force,5.1,44183
Gbomo Gbomo Express,5.1,41
Golmaal Returns,5.1,7377
Heroine,5.1,4196
Hometown Holiday,5.1,807
Honey: Rise Up and Dance,5.1,724
Jaal,5.1,109
Jumping Girl,5.1,54
Kaake Da Viyah,5.1,64
Kung Fu Magoo,5.1,143
Merry Men: The Real Yoruba Demons,5.1,120
Mr. Woodcock,5.1,35515
My Step Dad: The Hippie,5.1,1565
Okafor's Law,5.1,49
Power Rangers Samurai,5.1,2020
Qila,5.1,119
Shabd,5.1,1391
Sliver,5.1,30119
Snow Day,5.1,11981
The Adderall Diaries,5.1,4747
The Clapper,5.1,6946
The Hurricane Heist,5.1,19840
The Larva Island Movie,5.1,549
The Zoya Factor,5.1,10
Aakhri Adaalat,5.2,88
After We Collided,5.2,23419
American Factory: A Conversation with the Obamas,5.2,263
Anthony Kaun Hai?,5.2,637
Arctic Heart,5.2,1031
Atomic Puppet,5.2,161
Battle Drone,5.2,4040
Bottom of the World,5.2,5044
Boushkash,5.2,788
Break Ke Baad,5.2,4098
Christmas with a Prince,5.2,1258
Cold Harbour,5.2,195
Fan of Amoory,5.2,29
Gang of the Caribbean,5.2,270
Girlfriend's Day,5.2,3734
Handsome: A Netflix Mystery Movie,5.2,4177
Hubie Halloween,5.2,42194
Humko Deewana Kar Gaye,5.2,4029
Hunt to Kill,5.2,6581
Khoon Khoon,5.2,35
Kismat Konnection,5.2,5402
Krishna Cottage,5.2,1064
Leslie Jones: Time Machine,5.2,812
Marvel Super Hero Adventures: Frost Fight!,5.2,761
Michael Lost and Found,5.2,357
Mumbai Matinee,5.2,277
Paul Blart: Mall Cop,5.2,105923
"Pop, Lock 'n Roll",5.2,20
Postcards from London,5.2,1046
Prank Encounters,5.2,2472
Rangreza,5.2,230
Revenge of the Pontianak,5.2,248
Rim of the World,5.2,21886
S Storm,5.2,640
Sandy Wexler,5.2,15682
Sleepless Society: Two Pillows & A Lost Soul,5.2,32
So Much Love to Give,5.2,1225
Tall Girl,5.2,19465
Terrorism Close Calls,5.2,598
Teshan,5.2,50
The Bittersweet,5.2,125
The Final Destination,5.2,99901
The Year of Happiness and Love,5.2,21
We Are Legends,5.2,175
Wives on Strike: The Revolution,5.2,26
X: Past Is Present,5.2,663
706,5.3,457
#cats_the_mewvie,5.3,446
A Christmas Prince: The Royal Wedding,5.3,9556
A Cinderella Story: Christmas Wish,5.3,5258
Abominable Christmas,5.3,277
Aiyaary,5.3,4293
Albion: The Enchanted Stallion,5.3,1451
Amar Akbar & Tony,5.3,284
Another Forever,5.3,489
Being Napoleon,5.3,104
Benji's Very Own Christmas Story,5.3,261
Beyond Skyline,5.3,20578
Brampton's Own,5.3,469
Candy Online,5.3,19
Dating Around: Brazil,5.3,107
Dear Dracula,5.3,304
Dil Hai Tumhaara,5.3,1777
Doubles Cause Troubles,5.3,157
Dragonheart: Battle for the Heartfire,5.3,2344
Hasmukh,5.3,2512
Her Only Choice,5.3,156
Historical Roasts,5.3,1602
Hostage to the Devil,5.3,1445
Jab Harry Met Sejal,5.3,19637
Jo Koy: In His Elements,5.3,420
Jupiter Ascending,5.3,182575
Kath & Kimderella,5.3,1246
Kisaan,5.3,294
Little Nicky,5.3,101166
Mujrim,5.3,163
My Friend Pinto,5.3,356
My Horrible Grandma,5.3,616
Popeye,5.3,30476
Puerto Ricans in Paris,5.3,1755
Revenge of the Green Dragons,5.3,3874
Rocky V,5.3,130739
Romantik Komedi,5.3,4933
Sadie's Last Days on Earth,5.3,427
Sardaarji 2,5.3,578
Savage Raghda,5.3,428
Seven in Heaven,5.3,2547
Sinister 2,5.3,50738
Social Animals,5.3,1780
Spring Breakers,5.3,138330
The Bad Batch,5.3,28354
The Break with Michelle Wolf,5.3,1839
The Bridge Curse,5.3,1257
The Doll 2,5.3,487
The Good Catholic,5.3,902
The Green Inferno,5.3,41125
The Haunted Hathaways,5.3,1896
The Most Assassinated Woman in the World,5.3,999
The Smurfs 2,5.3,39570
The World We Make,5.3,576
"To Each, Her Own",5.3,1561
True to the Game,5.3,726
Twins Mission,5.3,652
Unaccompanied Minors,5.3,10816
Uncle Naji in UAE,5.3,50
Under the Eiffel Tower,5.3,816
USS Indianapolis: Men of Courage,5.3,12132
Veerappan,5.3,739
Who Would You Take to a Deserted Island?,5.3,2341
2 Alone in Paris,5.4,2362
90 ML,5.4,336
A Chaster Marriage,5.4,819
A Choo,5.4,291
A Christmas Prince: The Royal Baby,5.4,5618
A New York Christmas Wedding,5.4,866
A Remarkable Tale,5.4,1034
After Porn Ends 3,5.4,1557
Ali & Alia,5.4,30
Barely Lethal,5.4,20743
Barsaat,5.4,1216
Bella and the Bulldogs,5.4,1558
Betaal,5.4,8327
Brave New Jersey,5.4,512
Bypass Road,5.4,928
C Kkompany,5.4,1058
Christmas with the Kranks,5.4,45326
Despite Everything,5.4,4454
Don Verdean,5.4,5192
Enter the Warriors Gate,5.4,4779
Evan Almighty,5.4,142206
From Japan to Egypt,5.4,328
"Game Over, Man!",5.4,27854
Head Count,5.4,3681
Hell and Back,5.4,4853
How to Be a Player,5.4,8841
I Am Wrath,5.4,14221
J-Style Trip,5.4,98
Jake's Buccaneer Blast,5.4,16
Jefe,5.4,995
Jessica Darling's It List,5.4,895
Juman,5.4,82
Kalek Shanab,5.4,33
Krishna and His Leela,5.4,1364
Kyo Kii... Main Jhuth Nahin Bolta,5.4,2068
Lifechanger,5.4,2226
Ma Chu Ka,5.4,83
Mahjong Heroes,5.4,83
Martin Lawrence Live: Runteldat,5.4,1705
Mostly Sunny,5.4,702
My Birthday Song,5.4,270
Night of Knots,5.4,1204
On the Wrong Track,5.4,132
One 2 Ka 4,5.4,4932
Outside the Wire,5.4,37547
Palermo Hollywood,5.4,178
Poster Boys,5.4,1483
Pottersville,5.4,4159
Prince Charming,5.4,109
Race 2,5.4,15770
Ram Jaane,5.4,3770
Reality Z,5.4,2198
Results,5.4,6808
Season of the Witch,5.4,91866
Superlopez,5.4,3341
The Boss's Daughter,5.4,766
The Christmas Project,5.4,452
The Happytime Murders,5.4,26091
The Princess Switch: Switched Again,5.4,8381
The Tuxedo,5.4,81348
Under the Riccione Sun,5.4,2076
"We, the Marines",5.4,540
3 Türken & ein Baby,5.5,1650
A Very Murray Christmas,5.5,14645
A Yellow Bird,5.5,204
All of You,5.5,173
All the Boys Love Mandy Lane,5.5,32051
At First Light,5.5,3432
Bang Rajan 2,5.5,226
Barbie in Princess Power,5.5,796
Been So Long,5.5,1008
Below Her Mouth,5.5,11179
Big Fat Liar,5.5,36012
Bon Bini Holland,5.5,1220
Burning Cane,5.5,597
Casa de mi Padre,5.5,20602
Chaahat,5.5,2722
City of Tiny Lights,5.5,2298
Class of '61,5.5,420
Dabbe 6: The Return,5.5,2655
Dedemin Fisi,5.5,3382
Don't Go Breaking My Heart 2,5.5,648
Dragons: Rescue Riders: Hunt for the Golden Dragon,5.5,127
Dragons: Rescue Riders: Secrets of the Songwing,5.5,144
Ek Ladki Ko Dekha Toh Aisa Laga,5.5,4026
Fida,5.5,2514
Flimflam,5.5,1304
Ghosts of Sugar Land,5.5,1274
Hawaizaada,5.5,1795
Jay and Silent Bob Strike Back,5.5,63
Katt Williams: Kattpacalypse,5.5,611
Krystal,5.5,1458
Lady in the Water,5.5,96607
Maine Pyaar Kyun Kiya,5.5,4933
Malibu Rescue,5.5,861
Mr. Virgin,5.5,90
Nailed It! Spain,5.5,85
Papa the Great,5.5,73
Power Rangers Operation Overdrive,5.5,1300
Ranbhool,5.5,27
"Rob Schneider: Asian Momma, Mexican Kids",5.5,661
Sarah Cooper: Everything's Fine,5.5,1604
Seventh Son,5.5,74029
Sid the Science Kid,5.5,626
Sing On! Germany,5.5,119
Spy Kids,5.5,111656
Stuart Little 2,5.5,51923
The 3rd Eye 2,5.5,511
The A List,5.5,2368
The Cloverfield Paradox,5.5,98975
The Guardian Brothers,5.5,1967
The Legacy of a Whitetail Deer Hunter,5.5,3714
The Longshots,5.5,4042
The Lost Okoroshi,5.5,150
The Royal Hibiscus Hotel,5.5,241
The Spy Next Door,5.5,42226
The Young Vagabond,5.5,227
Tremors: Shrieker Island,5.5,3430
True: Terrific Tales,5.5,17
Vai Anitta,5.5,436
When Angels Sleep,5.5,3397
Why Knot,5.5,68
Wildling,5.5,13162
Winchester,5.5,32034
Wish Upon a Unicorn,5.5,142
Yes or No 2.5,5.5,190
You Don't Mess with the Zohan,5.5,194734
6 Years,5.6,12083
A Bad Moms Christmas,5.6,46657
A Trash Truck Christmas,5.6,162
An Easy Girl,5.6,4436
Anaamika,5.6,238
Annabelle Hooper and the Ghosts of Nantucket,5.6,722
Bad Match,5.6,4100
Bob Lazar: Area 51 & Flying Saucers,5.6,5546
Bomb Scared,5.6,2741
Brahman Naman,5.6,1808
Care Bears: Welcome to Care-a-Lot,5.6,158
Coffee for All,5.6,354
Couples Counseling,5.6,303
Daddy Day Care,5.6,65671
Dhoondte Reh Jaoge,5.6,781
Dum,5.6,1629
Duplicate,5.6,7267
Enissa Amani: Ehrenwort,5.6,183
Exit Wounds,5.6,34154
Falling Inn Love,5.6,17393
Fred Claus,5.6,41379
Gelo,5.6,135
Get In,5.6,2428
Girl's Revenge,5.6,154
Good Luck Chuck,5.6,87507
Grandmother's Farm Part 2,5.6,53
H2O: Mermaid Adventures,5.6,163
Hold the Dark,5.6,34879
House at the End of the Street,5.6,74689
I Am Michael,5.6,5308
I Hate Luv Storys,5.6,7777
In Defense of a Married Man,5.6,179
Inside Man: Most Wanted,5.6,3465
Irada Pakka,5.6,29
Küçük Esnaf,5.6,3865
Khan: No. 1 Crime Hunter,5.6,47
Lady Bloodfight,5.6,2623
Look for a Star,5.6,655
Love You... Love You Not,5.6,61
"Love, Guaranteed",5.6,15249
"Love, Surreal and Odd",5.6,3040
Machete Kills,5.6,76255
Manglehorn,5.6,7421
Manhattan Romance,5.6,1321
Mexico Diseña,5.6,6
Moh Maya Money,5.6,420
Monster-in-Law,5.6,58278
Mundeyan Ton Bachke Rahin,5.6,49
Natalia Valdebenito: Gritona,5.6,82
One-Way to Tomorrow,5.6,4511
P. King Duckling,5.6,30
Power Rangers Super Megaforce,5.6,32
Rangoon,5.6,4024
S.W.A.T.,5.6,11
Scream 3,5.6,127258
Singh Saab the Great,5.6,2239
Sleepless Society: Nyctophobia,5.6,34
Super Drags,5.6,1415
Super Monsters Furever Friends,5.6,64
Super Monsters Save Halloween,5.6,57
The 9th Precinct,5.6,452
The Knight Before Christmas,5.6,15559
The Midnight Sky,5.6,76201
The Millions,5.6,33
Theo Von: No Offense,5.6,755
Tracers,5.6,18930
Tum Milo Toh Sahi,5.6,486
Vampires vs. the Bronx,5.6,6
We Have Always Lived in the Castle,5.6,6274
Yellowbird,5.6,1644
14 Minutes from Earth,5.7,157
A Family Reunion Christmas,5.7,170
A Perfect Ending,5.7,4071
After Porn Ends,5.7,7718
Azhar,5.7,5406
Barbie Princess Adventure,5.7,293
Belief: The Possession of Janet Moses,5.7,665
Best Leftovers Ever!,5.7,424
Bioscope,5.7,175
Blue Mountain State: The Rise of Thadland,5.7,15133
Chicken Little,5.7,88387
Christmas Inheritance,5.7,10321
Come and Find Me,5.7,8557
Dad Wanted,5.7,955
Ek Khiladi Ek Haseena,5.7,608
Ek Main Aur Ekk Tu,5.7,6553
Empire Games,5.7,281
Extreme Engagement,5.7,353
Finally Found Someone,5.7,217
Four Christmases,5.7,67403
Fugitiva,5.7,589
Ginny Weds Sunny,5.7,4119
Good Burger,5.7,27584
Growing Up Coy,5.7,380
Halo: The Fall of Reach,5.7,2798
Incorruptible,5.7,106
Jarhead: Law of Return,5.7,4411
Jumping the Broom,5.7,10511
"Ken Jeong: You Complete Me, Ho",5.7,2219
Kids on the Block,5.7,312
Kill Command,5.7,13651
Liefling,5.7,112
Little Evil,5.7,19885
Little Singham: Kaal Ka Badla,5.7,16
Locust,5.7,525
Mauli,5.7,334
Mohenjo Daro,5.7,11076
Mumbai Delhi Mumbai,5.7,346
No Time for Shame,5.7,76
Only God Forgives,5.7,109263
"Out of Many, One",5.7,232
Perfect Stranger,5.7,46290
Pokémon: Mewtwo Strikes Back - Evolution,5.7,4901
Poseidon,5.7,101003
Power Rangers Turbo,5.7,2225
Puerta 7,5.7,496
Queen of the Desert,5.7,10859
Race to Witch Mountain,5.7,57366
Rowdy Rathore,5.7,21343
Seal Team Six: The Raid on Osama Bin Laden,5.7,10325
Shorgul,5.7,275
Skiptrace,5.7,19941
Southern Survival,5.7,285
The Art of War,5.7,29309
The Bygone,5.7,3335
The Do-Over,5.7,42801
The Holiday Calendar,5.7,8885
The Last Exorcism,5.7,48790
The Light of My Eyes,5.7,755
The New Romantic,5.7,2079
The Nut Job,5.7,27389
The Trigger Effect,5.7,7600
Thug Life,5.7,48
Truckbhar Swapna,5.7,19
Velvet Buzzsaw,5.7,56659
Verses of Love 2,5.7,587
Virsa,5.7,119
What Keeps You Alive,5.7,7528
1BR,5.8,10438
21 & Over,5.8,73039
72 Cutest Animals,5.8,403
A California Christmas,5.8,6969
A Christmas Prince,5.8,17554
A Stoning in Fulham County,5.8,346
Adam Devine: Best Time of Our Lives,5.8,887
An Evening with Beverly Luff Linn,5.8,4989
Anjelah Johnson: Not Fancy,5.8,640
Bangkok Love Stories: Objects of Affection,5.8,23
Barbie: Spy Squad,5.8,783
Barbie: The Princess & the Popstar,5.8,1740
Bitcoin Heist,5.8,354
Bling Empire,5.8,2286
BuyBust,5.8,1769
Chico Bon Bon and the Very Berry Holiday,5.8,32
Christmas in the Smokies,5.8,1309
Cirque du Freak: The Vampire's Assistant,5.8,44072
Class of '83,5.8,5224
Click for Murder,5.8,66
Curon,5.8,3614
Cyborg 009: Call of Justice,5.8,198
Darr Sabko Lagta Hai,5.8,59
Dragons: Rescue Riders: Huttsgalor Holiday,5.8,94
Duck Duck Goose,5.8,3364
Final Destination 3,5.8,134239
From A to B,5.8,1296
Ghanchakkar,5.8,4869
Goedam,5.8,704
Gothika,5.8,109756
Holiday Home Makeover with Mr. Christmas,5.8,250
Kacche Dhaagey,5.8,5
King of Boys,5.8,292
